height [mm],rad [mm],Freq [GHz],"dB(S(1,1)) []"
13,13,1,-0.4880855296
13,13,1.01,-0.4839739504
13,13,1.02,-0.4799210548
13,13,1.03,-0.4759275004
13,13,1.04,-0.4719939242
13,13,1.05,-0.4681209436
13,13,1.06,-0.4643091575
13,13,1.07,-0.4605591471
13,13,1.08,-0.4568714771
13,13,1.09,-0.4532466964
13,13,1.1,-0.4496853391
13,13,1.11,-0.4461879252
13,13,1.12,-0.4427549621
13,13,1.13,-0.4393869445
13,13,1.14,-0.4360843558
13,13,1.15,-0.432847669
13,13,1.16,-0.4296773469
13,13,1.17,-0.4265738434
13,13,1.18,-0.4235376039
13,13,1.19,-0.4205690662
13,13,1.2,-0.4176686608
13,13,1.21,-0.4148368122
13,13,1.22,-0.412073939
13,13,1.23,-0.4093804547
13,13,1.24,-0.4067567683
13,13,1.25,-0.404203285
13,13,1.26,-0.4017204064
13,13,1.27,-0.3993085318
13,13,1.28,-0.3969680577
13,13,1.29,-0.3946993792
13,13,1.3,-0.3925028902
13,13,1.31,-0.3903789839
13,13,1.32,-0.388328053
13,13,1.33,-0.3863504908
13,13,1.34,-0.3844466911
13,13,1.35,-0.3826170489
13,13,1.36,-0.3808619607
13,13,1.37,-0.3791818252
13,13,1.38,-0.3775770434
13,13,1.39,-0.3760480192
13,13,1.4,-0.3745951597
13,13,1.41,-0.3732188757
13,13,1.42,-0.371919582
13,13,1.43,-0.3706976979
13,13,1.44,-0.3695536473
13,13,1.45,-0.3684878594
13,13,1.46,-0.3675007689
13,13,1.47,-0.3665928165
13,13,1.48,-0.3657644489
13,13,1.49,-0.3650161195
13,13,1.5,-0.3643482887
13,13,1.51,-0.3637614242
13,13,1.52,-0.3632560012
13,13,1.53,-0.3628325029
13,13,1.54,-0.3624914209
13,13,1.55,-0.3622332553
13,13,1.56,-0.3620585152
13,13,1.57,-0.361967719
13,13,1.58,-0.3619613946
13,13,1.59,-0.3620400801
13,13,1.6,-0.3622043234
13,13,1.61,-0.3624546831
13,13,1.62,-0.3627917289
13,13,1.63,-0.3632160412
13,13,1.64,-0.363728212
13,13,1.65,-0.3643288451
13,13,1.66,-0.3650185559
13,13,1.67,-0.3657979724
13,13,1.68,-0.3666677347
13,13,1.69,-0.3676284957
13,13,1.7,-0.3686809213
13,13,1.71,-0.3698256901
13,13,1.72,-0.3710634942
13,13,1.73,-0.3723950388
13,13,1.74,-0.3738210427
13,13,1.75,-0.3753422381
13,13,1.76,-0.3769593705
13,13,1.77,-0.3786731992
13,13,1.78,-0.3804844964
13,13,1.79,-0.382394048
13,13,1.8,-0.3844026524
13,13,1.81,-0.386511121
13,13,1.82,-0.3887202772
13,13,1.83,-0.3910309562
13,13,1.84,-0.3934440044
13,13,1.85,-0.3959602784
13,13,1.86,-0.3985806443
13,13,1.87,-0.4013059764
13,13,1.88,-0.4041371561
13,13,1.89,-0.4070750704
13,13,1.9,-0.4101206098
13,13,1.91,-0.4132746666
13,13,1.92,-0.4165381326
13,13,1.93,-0.4199118958
13,13,1.94,-0.423396838
13,13,1.95,-0.4269938306
13,13,1.96,-0.4307037308
13,13,1.97,-0.4345273766
13,13,1.98,-0.4384655818
13,13,1.99,-0.4425191294
13,13,2,-0.4466887648
13,13,2.01,-0.4509751879
13,13,2.02,-0.4553790436
13,13,2.03,-0.4599009119
13,13,2.04,-0.4645412958
13,13,2.05,-0.4693006078
13,13,2.06,-0.4741791549
13,13,2.07,-0.4791771208
13,13,2.08,-0.4842945467
13,13,2.09,-0.4895313079
13,13,2.1,-0.4948870891
13,13,2.11,-0.5003613544
13,13,2.12,-0.5059533141
13,13,2.13,-0.5116618871
13,13,2.14,-0.5174856571
13,13,2.15,-0.5234228233
13,13,2.16,-0.5294711435
13,13,2.17,-0.5356278699
13,13,2.18,-0.5418896748
13,13,2.19,-0.5482525661
13,13,2.2,-0.55471179
13,13,2.21,-0.5612617203
13,13,2.22,-0.5678957305
13,13,2.23,-0.5746060474
13,13,2.24,-0.5813835834
13,13,2.25,-0.5882177435
13,13,2.26,-0.5950962032
13,13,2.27,-0.6020046541
13,13,2.28,-0.6089265113
13,13,2.29,-0.6158425767
13,13,2.3,-0.6227306538
13,13,2.31,-0.6295651049
13,13,2.32,-0.6363163454
13,13,2.33,-0.642950265
13,13,2.34,-0.6494275705
13,13,2.35,-0.6557030392
