"Height [mm]","Radius [mm]","Freq [GHz]","dB(S(1,1)) []"
13,8,3,-2.8588467207752
13,8,3.01,-2.88399911959929
13,8,3.02,-2.90951930993882
13,8,3.03,-2.93541406491015
13,8,3.04,-2.96169036059041
13,8,3.05,-2.98835538765423
13,8,3.06,-3.01541656351922
13,8,3.07,-3.04288154501717
13,8,3.08,-3.07075824160777
13,8,3.09,-3.099054829152
13,8,3.1,-3.12777976426204
13,8,3.11,-3.15694179924475
13,8,3.12,-3.18654999765514
13,8,3.13,-3.21661375047616
13,8,3.14,-3.2471427929402
13,8,3.15,-3.27814722200708
13,8,3.16,-3.30963751451192
13,8,3.17,-3.34162454599517
13,8,3.18,-3.37411961022476
13,8,3.19,-3.40713443941884
13,8,3.2,-3.44068122517393
13,8,3.21,-3.47477264010089
13,8,3.22,-3.50942186016655
13,8,3.23,-3.54464258773445
13,8,3.24,-3.58044907529252
13,8,3.25,-3.61685614984883
13,8,3.26,-3.65387923796919
13,8,3.27,-3.69153439142091
13,8,3.28,-3.72983831337706
13,8,3.29,-3.76880838512287
13,8,3.3,-3.80846269319234
13,8,3.31,-3.84882005684631
13,8,3.32,-3.88990005578468
13,8,3.33,-3.93172305796374
13,8,3.34,-3.97431024736443
13,8,3.35,-4.01768365152914
13,8,3.36,-4.06186616865117
13,8,3.37,-4.10688159396432
13,8,3.38,-4.15275464513622
13,8,3.39,-4.19951098632116
13,8,3.4,-4.24717725047136
13,8,3.41,-4.29578105944337
13,8,3.42,-4.34535104136347
13,8,3.43,-4.39591684463493
13,8,3.44,-4.44750914787729
13,8,3.45,-4.50015966498376
13,8,3.46,-4.55390114436472
13,8,3.47,-4.60876736131302
13,8,3.48,-4.66479310227727
13,8,3.49,-4.7220141396627
13,8,3.5,-4.78046719559154
13,8,3.51,-4.84018989284648
13,8,3.52,-4.90122069098866
13,8,3.53,-4.96359880538385
13,8,3.54,-5.02736410658657
13,8,3.55,-5.09255699721879
13,8,3.56,-5.15921826313805
13,8,3.57,-5.22738889531733
13,8,3.58,-5.29710987845723
13,8,3.59,-5.36842194192002
13,8,3.6,-5.44136526811864
13,8,3.61,-5.51597915301516
13,8,3.62,-5.59230161288989
13,8,3.63,-5.67036893104475
