"height [mm]","rad [mm]","w1 [mm]","w2 [mm]","Freq [GHz]","dB(S(1,1)) []"
13,13,2,2,1,-0.527535177461676
13,13,2,2,1.01,-0.524461761399786
13,13,2,2,1.02,-0.521384351873333
13,13,2,2,1.03,-0.518304725419775
13,13,2,2,1.04,-0.515224673230231
13,13,2,2,1.05,-0.512145998914927
13,13,2,2,1.06,-0.509070516260411
13,13,2,2,1.07,-0.506000046984527
13,13,2,2,1.08,-0.502936418495099
13,13,2,2,1.09,-0.499881461658244
13,13,2,2,1.1,-0.496837008582118
13,13,2,2,1.11,-0.493804890421847
13,13,2,2,1.12,-0.490786935211187
13,13,2,2,1.13,-0.487784965726439
13,13,2,2,1.14,-0.484800797387785
13,13,2,2,1.15,-0.481836236203254
13,13,2,2,1.16,-0.478893076760101
13,13,2,2,1.17,-0.475973100268324
13,13,2,2,1.18,-0.473078072660662
13,13,2,2,1.19,-0.470209742753329
13,13,2,2,1.2,-0.467369840471284
13,13,2,2,1.21,-0.464560075141702
13,13,2,2,1.22,-0.461782133858942
13,13,2,2,1.23,-0.459037679924045
13,13,2,2,1.24,-0.456328351361511
13,13,2,2,1.25,-0.453655759515688
13,13,2,2,1.26,-0.451021487728961
13,13,2,2,1.27,-0.448427090103472
13,13,2,2,1.28,-0.445874090347852
13,13,2,2,1.29,-0.443363980710113
13,13,2,2,1.3,-0.44089822099757
13,13,2,2,1.31,-0.438478237684325
13,13,2,2,1.32,-0.436105423106526
13,13,2,2,1.33,-0.43378113474538
13,13,2,2,1.34,-0.431506694597575
13,13,2,2,1.35,-0.429283388632442
13,13,2,2,1.36,-0.427112466335056
13,13,2,2,1.37,-0.424995140334042
13,13,2,2,1.38,-0.42293258611275
13,13,2,2,1.39,-0.420925941802117
13,13,2,2,1.4,-0.418976308053392
13,13,2,2,1.41,-0.417084747988668
13,13,2,2,1.42,-0.415252287226902
13,13,2,2,1.43,-0.413479913982963
13,13,2,2,1.44,-0.411768579237161
13,13,2,2,1.45,-0.410119196972318
13,13,2,2,1.46,-0.408532644475521
13,13,2,2,1.47,-0.407009762701451
13,13,2,2,1.48,-0.405551356693999
13,13,2,2,1.49,-0.404158196062886
13,13,2,2,1.5,-0.402831015511783
13,13,2,2,1.51,-0.401570515414376
13,13,2,2,1.52,-0.400377362434699
13,13,2,2,1.53,-0.399252190187995
13,13,2,2,1.54,-0.398195599938238
13,13,2,2,1.55,-0.397208161328423
13,13,2,2,1.56,-0.396290413139576
13,13,2,2,1.57,-0.395442864074438
13,13,2,2,1.58,-0.394665993561626
13,13,2,2,1.59,-0.393960252576041
13,13,2,2,1.6,-0.393326064471173
13,13,2,2,1.61,-0.392763825818878
13,13,2,2,1.62,-0.39227390725207
13,13,2,2,1.63,-0.391856654305707
13,13,2,2,1.64,-0.391512388251256
13,13,2,2,1.65,-0.391241406919723
13,13,2,2,1.66,-0.391043985508139
13,13,2,2,1.67,-0.390920377364224
13,13,2,2,1.68,-0.390870814743714
13,13,2,2,1.69,-0.390895509534611
13,13,2,2,1.7,-0.390994653942272
13,13,2,2,1.71,-0.391168421129032
13,13,2,2,1.72,-0.391416965801577
13,13,2,2,1.73,-0.391740424738916
13,13,2,2,1.74,-0.392138917253309
13,13,2,2,1.75,-0.392612545575987
13,13,2,2,1.76,-0.393161395158779
13,13,2,2,1.77,-0.393785534882197
13,13,2,2,1.78,-0.394485017159614
13,13,2,2,1.79,-0.395259877926306
13,13,2,2,1.8,-0.396110136501109
13,13,2,2,1.81,-0.397035795307274
13,13,2,2,1.82,-0.398036839437746
13,13,2,2,1.83,-0.399113236048709
13,13,2,2,1.84,-0.400264933563458
13,13,2,2,1.85,-0.401491860666808
13,13,2,2,1.86,-0.402793925068122
13,13,2,2,1.87,-0.404171012008598
13,13,2,2,1.88,-0.40562298248573
13,13,2,2,1.89,-0.407149671164748
13,13,2,2,1.9,-0.408750883943402
13,13,2,2,1.91,-0.41042639513239
13,13,2,2,1.92,-0.412175944209358
13,13,2,2,1.93,-0.413999232099265
13,13,2,2,1.94,-0.41589591692815
13,13,2,2,1.95,-0.417865609190794
13,13,2,2,1.96,-0.419907866265404
13,13,2,2,1.97,-0.422022186199905
13,13,2,2,1.98,-0.42420800068499
13,13,2,2,1.99,-0.426464667117971
13,13,2,2,2,-0.428791459649172
13,13,2,2,2.01,-0.431187559088359
13,13,2,2,2.02,-0.4336520415325
13,13,2,2,2.03,-0.436183865557603
13,13,2,2,2.04,-0.438781857796297
13,13,2,2,2.05,-0.441444696698529
13,13,2,2,2.06,-0.444170894244978
13,13,2,2,2.07,-0.446958775351082
13,13,2,2,2.08,-0.449806454662969
13,13,2,2,2.09,-0.452711810404827
13,13,2,2,2.1,-0.455672454889059
13,13,2,2,2.11,-0.458685701245419
13,13,2,2,2.12,-0.46174852586182
13,13,2,2,2.13,-0.464857525956603
13,13,2,2,2.14,-0.468008871618323
13,13,2,2,2.15,-0.471198251552869
13,13,2,2,2.16,-0.474420811667529
13,13,2,2,2.17,-0.477671085495134
13,13,2,2,2.18,-0.480942915316957
13,13,2,2,2.19,-0.48422936267825
13,13,2,2,2.2,-0.487522606802958
13,13,2,2,2.21,-0.490813829202365
13,13,2,2,2.22,-0.494093082534258
13,13,2,2,2.23,-0.497349141503779
13,13,2,2,2.24,-0.50056933330475
13,13,2,2,2.25,-0.503739344783062
13,13,2,2,2.26,-0.506843003167326
13,13,2,2,2.27,-0.50986202686731
13,13,2,2,2.28,-0.512775742505358
13,13,2,2,2.29,-0.5155607640504
13,13,2,2,2.3,-0.518190629713903
13,13,2,2,2.31,-0.520635392213649
13,13,2,2,2.32,-0.522861158220399
13,13,2,2,2.33,-0.524829573431633
13,13,2,2,2.34,-0.526497250995796
13,13,2,2,2.35,-0.527815143272232
13,13,2,2,2.36,-0.528727860634267
13,13,2,2,2.37,-0.529172946882688
13,13,2,2,2.38,-0.529080129785594
13,13,2,2,2.39,-0.52837057861681
13,13,2,2,2.4,-0.526956220123922
13,13,2,2,2.41,-0.524739192513995
13,13,2,2,2.42,-0.521611556895426
13,13,2,2,2.43,-0.517455440984076
13,13,2,2,2.44,-0.512143865162161
13,13,2,2,2.45,-0.505542600562552
13,13,2,2,2.46,-0.497513535795703
13,13,2,2,2.47,-0.48792018227816
13,13,2,2,2.48,-0.476636117998399
13,13,2,2,2.49,-0.463557329136891
13,13,2,2,2.5,-0.448619502393569
13,13,2,2,2.51,-0.4318212478538
13,13,2,2,2.52,-0.41325383336559
13,13,2,2,2.53,-0.393137066395206
13,13,2,2,2.54,-0.371859221840637
13,13,2,2,2.55,-0.350016220617044
13,13,2,2,2.56,-0.328441750835939
13,13,2,2,2.57,-0.308216443679042
13,13,2,2,2.58,-0.290642208251836
13,13,2,2,2.59,-0.277169802335082
13,13,2,2,2.6,-0.269275900502313
13,13,2,2,2.61,-0.268300489488834
13,13,2,2,2.62,-0.275272570562314
13,13,2,2,2.63,-0.290764153947956
13,13,2,2,2.64,-0.314811340227335
13,13,2,2,2.65,-0.346924322767908
13,13,2,2,2.66,-0.386181673647394
13,13,2,2,2.67,-0.431380394031534
13,13,2,2,2.68,-0.481202169349398
13,13,2,2,2.69,-0.534360431046355
13,13,2,2,2.7,-0.589706837826798
13,13,2,2,2.71,-0.646291546577078
13,13,2,2,2.72,-0.703383233385992
13,13,2,2,2.73,-0.7604603384106
13,13,2,2,2.74,-0.817185534949044
13,13,2,2,2.75,-0.873373154608206
13,13,2,2,2.76,-0.928956161817157
13,13,2,2,2.77,-0.983956418470738
13,13,2,2,2.78,-1.0384598715111
13,13,2,2,2.79,-1.09259696033394
13,13,2,2,2.8,-1.14652781665615
13,13,2,2,2.81,-1.20043151869737
13,13,2,2,2.82,-1.25449859651536
13,13,2,2,2.83,-1.30892604735329
13,13,2,2,2.84,-1.36391423449419
13,13,2,2,2.85,-1.41966516857235
13,13,2,2,2.86,-1.47638178593949
13,13,2,2,2.87,-1.53426793638879
13,13,2,2,2.88,-1.59352887084973
13,13,2,2,2.89,-1.6543720802874
13,13,2,2,2.9,-1.71700838285193
13,13,2,2,2.91,-1.78165319036768
13,13,2,2,2.92,-1.84852791026861
13,13,2,2,2.93,-1.91786145735661
13,13,2,2,2.94,-1.98989186309578
13,13,2,2,2.95,-2.06486797995718
13,13,2,2,2.96,-2.14305128565302
13,13,2,2,2.97,-2.2247177977429
13,13,2,2,2.98,-2.31016011365061
